;pr
1997-05-31;36.1662
1997-06-30;26.7482
1997-07-31;11.3452
1997-08-31;11.5228
1997-09-30;18.5827
1997-10-31;35.2112
1997-11-30;55.8373
1997-12-31;36.8281
1998-01-31;80.3693
1998-02-28;68.8103
1998-03-31;62.4085
1998-04-30;18.9949
1998-05-31;15.390999999999998
1998-06-30;2.90714
1998-07-31;7.94257
1998-08-31;13.5682
1998-09-30;20.8657
1998-10-31;40.2885
1998-11-30;82.1206
1998-12-31;79.2528
1999-01-31;63.7952
1999-02-28;44.6645
1999-03-31;35.1159
1999-04-30;23.9207
1999-05-31;28.348000000000003
1999-06-30;5.364330000000001
1999-07-31;12.4046
1999-08-31;11.3184
1999-09-30;15.6439
1999-10-31;42.6219
1999-11-30;36.3735
1999-12-31;116.431
2000-01-31;102.65899999999999
2000-02-29;102.072
2000-03-31;107.652
2000-04-30;45.1305
2000-05-31;18.4902
2000-06-30;9.5164
2000-07-31;9.58414
2000-08-31;5.5326699999999995
2000-09-30;34.0571
2000-10-31;36.681999999999995
2000-11-30;67.5411
2000-12-31;66.9264
2001-01-31;36.2166
2001-02-28;54.5417
2001-03-31;55.4124
2001-04-30;57.0376
2001-05-31;19.5565
2001-06-30;6.91685
2001-07-31;18.9524
2001-08-31;19.6571
2001-09-30;45.3452
2001-10-31;51.1222
2001-11-30;103.07
2001-12-31;75.8383
2002-01-31;68.9674
2002-02-28;49.11
2002-03-31;30.4093
2002-04-30;29.7878
2002-05-31;29.5914
2002-06-30;15.0966
2002-07-31;16.0743
2002-08-31;37.3466
2002-09-30;23.2372
2002-10-31;23.2503
2002-11-30;25.7378
2002-12-31;67.5211
2003-01-31;51.5866
2003-02-28;45.143
2003-03-31;65.2217
2003-04-30;20.6506
2003-05-31;15.4383
2003-06-30;10.3794
2003-07-31;5.91538
2003-08-31;16.5849
2003-09-30;20.6739
2003-10-31;38.4615
2003-11-30;36.6203
2003-12-31;36.7346
2004-01-31;97.4883
2004-02-29;73.6275
2004-03-31;61.7102
2004-04-30;36.0312
2004-05-31;6.1504199999999996
2004-06-30;8.866060000000001
2004-07-31;12.0165
2004-08-31;11.8172
2004-09-30;26.1934
2004-10-31;30.0848
2004-11-30;27.7879
2004-12-31;82.9899
2005-01-31;72.9698
2005-02-28;58.1974
2005-03-31;50.3167
2005-04-30;47.8245
2005-05-31;16.4693
2005-06-30;9.652289999999999
2005-07-31;2.90478
2005-08-31;8.26032
2005-09-30;6.05841
2005-10-31;22.4905
2005-11-30;54.1941
2005-12-31;42.8617
2006-01-31;87.4564
2006-02-28;113.98
2006-03-31;61.3572
2006-04-30;46.56399999999999
2006-05-31;30.3955
2006-06-30;6.96505
2006-07-31;7.9633899999999995
2006-08-31;45.6908
2006-09-30;11.366
2006-10-31;35.417
2006-11-30;58.9723
2006-12-31;81.8916
2007-01-31;34.398
2007-02-28;27.2268
2007-03-31;52.9355
2007-04-30;39.7746
2007-05-31;12.0865
2007-06-30;21.8579
2007-07-31;10.273
2007-08-31;7.71507
2007-09-30;26.9399
2007-10-31;52.8631
2007-11-30;65.5046
2007-12-31;59.0719
2008-01-31;83.7267
2008-02-29;45.6874
2008-03-31;54.0657
2008-04-30;21.9429
2008-05-31;23.8575
2008-06-30;21.6167
2008-07-31;11.8742
2008-08-31;9.73439
2008-09-30;12.6286
2008-10-31;20.724
2008-11-30;69.7743
2008-12-31;53.838
2009-01-31;79.1137
2009-02-28;90.6474
2009-03-31;30.7291
2009-04-30;17.3645
2009-05-31;15.1556
2009-06-30;26.6185
2009-07-31;12.526
2009-08-31;12.8889
2009-09-30;18.8758
2009-10-31;52.208
2009-11-30;75.1121
2009-12-31;51.5783
2010-01-31;102.581
2010-02-28;65.1871
2010-03-31;42.9904
2010-04-30;32.9119
2010-05-31;17.6176
2010-06-30;10.888
2010-07-31;8.44029
2010-08-31;5.25173
2010-09-30;5.41944
2010-10-31;34.7314
2010-11-30;56.3986
2010-12-31;83.9725
2011-01-31;105.97399999999999
2011-02-28;72.2788
2011-03-31;66.3148
2011-04-30;60.2157
2011-05-31;38.9432
2011-06-30;32.5319
2011-07-31;16.5844
2011-08-31;16.1018
2011-09-30;5.87221
2011-10-31;26.2993
2011-11-30;52.2812
2011-12-31;58.8665
2012-01-31;45.0159
2012-02-29;64.0444
2012-03-31;55.6964
2012-04-30;23.4256
2012-05-31;3.4776
2012-06-30;23.4023
2012-07-31;18.7266
2012-08-31;10.8775
2012-09-30;32.0427
2012-10-31;75.1647
2012-11-30;29.2712
2012-12-31;83.3777
2013-01-31;62.6002
2013-02-28;35.4779
2013-03-31;55.7642
2013-04-30;33.6637
2013-05-31;7.7039
2013-06-30;11.1953
2013-07-31;9.62866
2013-08-31;13.8296
2013-09-30;6.5027800000000004
2013-10-31;36.465
2013-11-30;52.758
2013-12-31;95.0426
2014-01-31;54.9551
2014-02-28;106.486
2014-03-31;58.2508
2014-04-30;34.294000000000004
2014-05-31;14.5883
2014-06-30;8.88728
2014-07-31;8.01769
2014-08-31;15.7856
2014-09-30;11.6591
2014-10-31;15.5017
2014-11-30;68.9355
2014-12-31;84.1863
2015-01-31;37.478
2015-02-28;35.6441
2015-03-31;57.5323
2015-04-30;34.3128
2015-05-31;5.41119
2015-06-30;27.36
2015-07-31;19.9437
2015-08-31;19.6669
2015-09-30;23.2621
2015-10-31;22.8417
2015-11-30;35.8368
2015-12-31;19.5182
