;pr
1923-01-31;112.803
1923-02-28;92.1779
1923-03-31;44.5749
1923-04-30;30.346
1923-05-31;22.6853
1923-06-30;18.5481
1923-07-31;17.9037
1923-08-31;8.17071
1923-09-30;5.3138
1923-10-31;18.9881
1923-11-30;46.8528
1923-12-31;46.938
1924-01-31;51.0009
1924-02-29;53.8317
1924-03-31;97.2563
1924-04-30;15.5787
1924-05-31;14.5655
1924-06-30;7.43428
1924-07-31;6.12445
1924-08-31;15.5423
1924-09-30;31.1492
1924-10-31;32.0401
1924-11-30;67.9767
1924-12-31;95.6388
1925-01-31;61.3596
1925-02-28;65.922
1925-03-31;145.756
1925-04-30;60.2048
1925-05-31;33.6859
1925-06-30;26.1368
1925-07-31;16.506
1925-08-31;6.5246699999999995
1925-09-30;41.6334
1925-10-31;24.8776
1925-11-30;38.6226
1925-12-31;38.7229
1926-01-31;44.1156
1926-02-28;48.4914
1926-03-31;58.7476
1926-04-30;15.0653
1926-05-31;19.1951
1926-06-30;14.4112
1926-07-31;11.8093
1926-08-31;4.3966199999999995
1926-09-30;27.1856
1926-10-31;31.5468
1926-11-30;52.2995
1926-12-31;48.2483
1927-01-31;44.5035
1927-02-28;51.6184
1927-03-31;71.0921
1927-04-30;21.9542
1927-05-31;9.88765
1927-06-30;4.13323
1927-07-31;15.5841
1927-08-31;15.5502
1927-09-30;6.44428
1927-10-31;53.4362
1927-11-30;28.5976
1927-12-31;57.7864
1928-01-31;85.7965
1928-02-29;46.8769
1928-03-31;78.7197
1928-04-30;26.2516
1928-05-31;6.043769999999999
1928-06-30;8.11241
1928-07-31;3.9049
1928-08-31;16.5729
1928-09-30;28.9993
1928-10-31;28.2745
1928-11-30;49.3245
1928-12-31;52.4594
1929-01-31;60.428999999999995
1929-02-28;44.2813
1929-03-31;90.6943
1929-04-30;19.3696
1929-05-31;17.618
1929-06-30;27.3061
1929-07-31;21.4469
1929-08-31;19.3624
1929-09-30;60.4665
1929-10-31;44.698
1929-11-30;55.4463
1929-12-31;73.9798
1930-01-31;71.154
1930-02-28;56.5721
1930-03-31;60.9926
1930-04-30;28.6188
1930-05-31;11.31
1930-06-30;10.2696
1930-07-31;7.970619999999999
1930-08-31;25.7443
1930-09-30;17.397000000000002
1930-10-31;24.5188
1930-11-30;33.6212
1930-12-31;58.7864
1931-01-31;81.7515
1931-02-28;48.3448
1931-03-31;57.8373
1931-04-30;47.8238
1931-05-31;4.03319
1931-06-30;4.91983
1931-07-31;30.9685
1931-08-31;8.86277
1931-09-30;8.695260000000001
1931-10-31;40.3694
1931-11-30;57.7718
1931-12-31;54.5543
1932-01-31;41.3729
1932-02-29;80.0008
1932-03-31;59.1679
1932-04-30;18.1398
1932-05-31;24.4785
1932-06-30;11.4222
1932-07-31;9.01652
1932-08-31;3.97126
1932-09-30;37.2653
1932-10-31;26.8652
1932-11-30;43.4007
1932-12-31;57.4316
1933-01-31;45.0517
1933-02-28;33.2799
1933-03-31;43.1197
1933-04-30;23.4051
1933-05-31;7.01089
1933-06-30;12.2649
1933-07-31;11.4423
1933-08-31;16.2086
1933-09-30;8.53088
1933-10-31;12.3005
1933-11-30;93.4784
1933-12-31;85.2166
1934-01-31;107.236
1934-02-28;68.8687
1934-03-31;69.3133
1934-04-30;33.2353
1934-05-31;26.255
1934-06-30;8.26158
1934-07-31;20.6516
1934-08-31;13.8889
1934-09-30;10.7297
1934-10-31;47.5384
1934-11-30;85.7081
1934-12-31;70.2373
1935-01-31;37.9203
1935-02-28;52.8762
1935-03-31;60.9362
1935-04-30;37.8656
1935-05-31;40.8441
1935-06-30;17.4517
1935-07-31;7.785069999999999
1935-08-31;15.5144
1935-09-30;17.0576
1935-10-31;17.9543
1935-11-30;31.8576
1935-12-31;44.1942
1936-01-31;61.598
1936-02-29;65.5988
1936-03-31;87.1036
1936-04-30;16.6612
1936-05-31;39.1554
1936-06-30;4.16373
1936-07-31;12.8046
1936-08-31;5.89952
1936-09-30;25.1637
1936-10-31;41.6519
1936-11-30;98.4558
1936-12-31;41.4837
1937-01-31;91.2055
1937-02-28;94.5761
1937-03-31;44.5897
1937-04-30;18.2614
1937-05-31;8.09763
1937-06-30;9.60635
1937-07-31;13.3719
1937-08-31;3.9641599999999997
1937-09-30;15.4722
1937-10-31;25.7707
1937-11-30;28.7419
1937-12-31;90.51700000000001
1938-01-31;67.1246
1938-02-28;61.4746
1938-03-31;28.7569
1938-04-30;53.8902
1938-05-31;11.3875
1938-06-30;20.0939
1938-07-31;13.7075
1938-08-31;11.7003
1938-09-30;17.5171
1938-10-31;51.0764
1938-11-30;44.4204
1938-12-31;80.6946
1939-01-31;76.0601
1939-02-28;128.877
1939-03-31;51.3557
1939-04-30;16.9987
1939-05-31;23.9198
1939-06-30;6.76255
1939-07-31;27.6779
1939-08-31;37.5244
1939-09-30;26.6968
1939-10-31;49.1112
1939-11-30;72.7049
1939-12-31;48.5304
1940-01-31;50.7429
1940-02-29;61.6644
1940-03-31;85.3839
1940-04-30;33.061
1940-05-31;24.7851
1940-06-30;22.5905
1940-07-31;8.947289999999999
1940-08-31;5.72049
1940-09-30;47.3684
1940-10-31;17.9686
1940-11-30;64.744
1940-12-31;70.327
1941-01-31;80.0443
1941-02-28;74.0493
1941-03-31;32.3059
1941-04-30;54.7274
1941-05-31;12.8527
1941-06-30;14.3649
1941-07-31;10.5123
1941-08-31;13.7427
1941-09-30;18.0946
1941-10-31;42.4465
1941-11-30;20.3399
1941-12-31;46.5413
1942-01-31;72.7407
1942-02-28;53.2566
1942-03-31;85.5446
1942-04-30;30.5748
1942-05-31;26.8051
1942-06-30;18.1213
1942-07-31;4.63438
1942-08-31;21.15
1942-09-30;21.5934
1942-10-31;62.466
1942-11-30;58.5063
1942-12-31;84.8956
1943-01-31;55.9271
1943-02-28;42.9589
1943-03-31;64.9196
1943-04-30;80.1486
1943-05-31;29.8671
1943-06-30;10.3726
1943-07-31;19.3942
1943-08-31;40.2201
1943-09-30;21.3552
1943-10-31;48.7961
1943-11-30;103.84700000000001
1943-12-31;74.2335
1944-01-31;61.1603
1944-02-29;94.0596
1944-03-31;55.2339
1944-04-30;12.3521
1944-05-31;23.4162
1944-06-30;29.0308
1944-07-31;7.7855
1944-08-31;9.83026
1944-09-30;41.1219
1944-10-31;46.5855
1944-11-30;37.04
1944-12-31;19.8017
1945-01-31;55.9011
1945-02-28;46.8928
1945-03-31;85.0826
1945-04-30;18.7764
1945-05-31;19.9525
1945-06-30;11.7362
1945-07-31;13.9157
1945-08-31;7.6517800000000005
1945-09-30;3.7135599999999998
1945-10-31;27.9479
1945-11-30;27.5781
1945-12-31;32.5682
1946-01-31;90.7937
1946-02-28;69.9765
1946-03-31;64.1521
1946-04-30;34.2287
1946-05-31;24.4757
1946-06-30;6.32538
1946-07-31;6.26018
1946-08-31;4.788130000000001
1946-09-30;14.3717
1946-10-31;38.3367
1946-11-30;43.3595
1946-12-31;43.3314
1947-01-31;48.6287
1947-02-28;53.5083
1947-03-31;66.1879
1947-04-30;36.8384
1947-05-31;16.0933
1947-06-30;13.4203
1947-07-31;16.3655
