pr,"	Year", Month, Country, ISO3, ISO2
9.28501,1914,9,ZAF,,
35.3479,1914,10,ZAF,,
75.9159,1914,11,ZAF,,
94.491,1914,12,ZAF,,
102.095,1915,1,ZAF,,
75.5487,1915,2,ZAF,,
21.6518,1915,3,ZAF,,
19.0131,1915,4,ZAF,,
19.5083,1915,5,ZAF,,
15.3879,1915,6,ZAF,,
23.9773,1915,7,ZAF,,
6.72289,1915,8,ZAF,,
17.5462,1915,9,ZAF,,
49.2249,1915,10,ZAF,,
48.6421,1915,11,ZAF,,
50.2851,1915,12,ZAF,,
47.5766,1916,1,ZAF,,
26.532,1916,2,ZAF,,
72.2154,1916,3,ZAF,,
28.0153,1916,4,ZAF,,
25.0714,1916,5,ZAF,,
6.57381,1916,6,ZAF,,
8.05746,1916,7,ZAF,,
9.43346,1916,8,ZAF,,
8.88349,1916,9,ZAF,,
33.2991,1916,10,ZAF,,
41.3579,1916,11,ZAF,,
77.7953,1916,12,ZAF,,
65.2622,1917,1,ZAF,,
78.9228,1917,2,ZAF,,
72.2995,1917,3,ZAF,,
39.3189,1917,4,ZAF,,
15.2848,1917,5,ZAF,,
27.6553,1917,6,ZAF,,
30.1163,1917,7,ZAF,,
35.8172,1917,8,ZAF,,
24.9327,1917,9,ZAF,,
45.6335,1917,10,ZAF,,
80.8192,1917,11,ZAF,,
77.0112,1917,12,ZAF,,
87.756,1918,1,ZAF,,
85.9884,1918,2,ZAF,,
118.024,1918,3,ZAF,,
7.76886,1918,4,ZAF,,
21.002,1918,5,ZAF,,
12.2091,1918,6,ZAF,,
22.2717,1918,7,ZAF,,
28.1264,1918,8,ZAF,,
33.7125,1918,9,ZAF,,
41.9211,1918,10,ZAF,,
38.0406,1918,11,ZAF,,
61.464,1918,12,ZAF,,
58.2683,1919,1,ZAF,,
46.3063,1919,2,ZAF,,
59.2325,1919,3,ZAF,,
37.7008,1919,4,ZAF,,
8.83865,1919,5,ZAF,,
7.01823,1919,6,ZAF,,
6.58579,1919,7,ZAF,,
13.291,1919,8,ZAF,,
16.0556,1919,9,ZAF,,
14.7707,1919,10,ZAF,,
59.1045,1919,11,ZAF,,
29.4649,1919,12,ZAF,,
84.6023,1920,1,ZAF,,
113.31,1920,2,ZAF,,
83.2797,1920,3,ZAF,,
11.9662,1920,4,ZAF,,
15.8448,1920,5,ZAF,,
14.5465,1920,6,ZAF,,
11.2059,1920,7,ZAF,,
13.8839,1920,8,ZAF,,
22.6024,1920,9,ZAF,,
52.8424,1920,10,ZAF,,
36.516,1920,11,ZAF,,
52.5316,1920,12,ZAF,,
37.1529,1921,1,ZAF,,
92.6573,1921,2,ZAF,,
111.421,1921,3,ZAF,,
45.6568,1921,4,ZAF,,
21.5004,1921,5,ZAF,,
21.3719,1921,6,ZAF,,
9.69039,1921,7,ZAF,,
6.67312,1921,8,ZAF,,
19.9771,1921,9,ZAF,,
37.5481,1921,10,ZAF,,
87.5821,1921,11,ZAF,,
81.5227,1921,12,ZAF,,
53.4343,1922,1,ZAF,,
33.5413,1922,2,ZAF,,
38.1878,1922,3,ZAF,,
12.5524,1922,4,ZAF,,
23.4563,1922,5,ZAF,,
20.5571,1922,6,ZAF,,
7.87437,1922,7,ZAF,,
27.1893,1922,8,ZAF,,
14.2381,1922,9,ZAF,,
39.7905,1922,10,ZAF,,
77.3853,1922,11,ZAF,,
43.4938,1922,12,ZAF,,
112.803,1923,1,ZAF,,
92.1779,1923,2,ZAF,,
44.5749,1923,3,ZAF,,
30.346,1923,4,ZAF,,
22.6853,1923,5,ZAF,,
18.5481,1923,6,ZAF,,
17.9037,1923,7,ZAF,,
8.17071,1923,8,ZAF,,
5.3138,1923,9,ZAF,,
18.9881,1923,10,ZAF,,
46.8528,1923,11,ZAF,,
46.938,1923,12,ZAF,,
51.0009,1924,1,ZAF,,
53.8317,1924,2,ZAF,,
97.2563,1924,3,ZAF,,
15.5787,1924,4,ZAF,,
14.5655,1924,5,ZAF,,
7.43428,1924,6,ZAF,,
6.12445,1924,7,ZAF,,
15.5423,1924,8,ZAF,,
31.1492,1924,9,ZAF,,
32.0401,1924,10,ZAF,,
67.9767,1924,11,ZAF,,
95.6388,1924,12,ZAF,,
61.3596,1925,1,ZAF,,
65.922,1925,2,ZAF,,
145.756,1925,3,ZAF,,
60.2048,1925,4,ZAF,,
33.6859,1925,5,ZAF,,
26.1368,1925,6,ZAF,,
16.506,1925,7,ZAF,,
6.52467,1925,8,ZAF,,
41.6334,1925,9,ZAF,,
24.8776,1925,10,ZAF,,
38.6226,1925,11,ZAF,,
38.7229,1925,12,ZAF,,
44.1156,1926,1,ZAF,,
48.4914,1926,2,ZAF,,
58.7476,1926,3,ZAF,,
15.0653,1926,4,ZAF,,
19.1951,1926,5,ZAF,,
14.4112,1926,6,ZAF,,
11.8093,1926,7,ZAF,,
4.39662,1926,8,ZAF,,
27.1856,1926,9,ZAF,,
31.5468,1926,10,ZAF,,
52.2995,1926,11,ZAF,,
48.2483,1926,12,ZAF,,
44.5035,1927,1,ZAF,,
51.6184,1927,2,ZAF,,
71.0921,1927,3,ZAF,,
21.9542,1927,4,ZAF,,
9.88765,1927,5,ZAF,,
4.13323,1927,6,ZAF,,
15.5841,1927,7,ZAF,,
15.5502,1927,8,ZAF,,
6.44428,1927,9,ZAF,,
53.4362,1927,10,ZAF,,
28.5976,1927,11,ZAF,,
57.7864,1927,12,ZAF,,
85.7965,1928,1,ZAF,,
46.8769,1928,2,ZAF,,
78.7197,1928,3,ZAF,,
26.2516,1928,4,ZAF,,
6.04377,1928,5,ZAF,,
8.11241,1928,6,ZAF,,
3.9049,1928,7,ZAF,,
16.5729,1928,8,ZAF,,
28.9993,1928,9,ZAF,,
28.2745,1928,10,ZAF,,
49.3245,1928,11,ZAF,,
52.4594,1928,12,ZAF,,
60.429,1929,1,ZAF,,
44.2813,1929,2,ZAF,,
90.6943,1929,3,ZAF,,
19.3696,1929,4,ZAF,,
17.618,1929,5,ZAF,,
27.3061,1929,6,ZAF,,
21.4469,1929,7,ZAF,,
19.3624,1929,8,ZAF,,
60.4665,1929,9,ZAF,,
44.698,1929,10,ZAF,,
55.4463,1929,11,ZAF,,
73.9798,1929,12,ZAF,,
71.154,1930,1,ZAF,,
56.5721,1930,2,ZAF,,
