;0
1920-05-31;13.4959
1920-06-30;9.69535
1920-07-31;11.1468
1920-08-31;12.6712
1920-09-30;14.9122
1920-10-31;17.373
1920-11-30;20.9869
1920-12-31;21.8564
1921-01-31;22.0315
1921-02-28;22.2118
1921-03-31;20.6709
1921-04-30;16.8197
1921-05-31;13.109000000000002
1921-06-30;10.4624
1921-07-31;8.9323
1921-08-31;11.2737
1921-09-30;14.6313
1921-10-31;17.6596
1921-11-30;19.133
1921-12-31;20.9301
1922-01-31;22.6202
1922-02-28;22.2048
1922-03-31;21.033
1922-04-30;18.1681
1922-05-31;12.936
1922-06-30;10.2748
1922-07-31;11.0068
1922-08-31;12.2242
1922-09-30;15.9746
1922-10-31;17.9575
1922-11-30;19.7872
1922-12-31;22.141
1923-01-31;22.2221
1923-02-28;22.0148
1923-03-31;21.0283
1923-04-30;16.6218
1923-05-31;12.8936
1923-06-30;10.4801
1923-07-31;10.4176
1923-08-31;12.6847
1923-09-30;15.7305
1923-10-31;19.5374
1923-11-30;20.9463
1923-12-31;21.9829
1924-01-31;22.91
1924-02-29;21.521
1924-03-31;19.8315
1924-04-30;17.0646
1924-05-31;12.9778
1924-06-30;10.0649
1924-07-31;9.74277
1924-08-31;11.5229
1924-09-30;14.9137
1924-10-31;17.4022
1924-11-30;19.0725
1924-12-31;21.1265
1925-01-31;21.8581
1925-02-28;22.8152
1925-03-31;20.1619
1925-04-30;17.3509
1925-05-31;12.815999999999999
1925-06-30;9.54288
1925-07-31;10.1682
1925-08-31;12.8413
1925-09-30;14.7108
1925-10-31;17.4465
1925-11-30;20.0003
1925-12-31;22.4019
1926-01-31;24.0337
1926-02-28;23.4732
1926-03-31;20.5095
1926-04-30;17.5254
1926-05-31;13.5276
1926-06-30;10.6614
1926-07-31;9.083839999999999
1926-08-31;12.007
1926-09-30;14.5934
1926-10-31;17.6956
1926-11-30;19.1747
1926-12-31;21.6719
1927-01-31;23.4593
1927-02-28;22.7337
1927-03-31;20.5737
1927-04-30;17.857
1927-05-31;13.2645
1927-06-30;10.8652
1927-07-31;11.0879
1927-08-31;12.4135
1927-09-30;16.4707
1927-10-31;18.3199
1927-11-30;20.893
1927-12-31;21.8912
1928-01-31;22.3305
1928-02-29;21.996
1928-03-31;20.6088
1928-04-30;17.531
1928-05-31;13.829
1928-06-30;10.902999999999999
1928-07-31;10.9238
1928-08-31;12.1373
1928-09-30;15.1957
1928-10-31;18.3213
1928-11-30;20.3654
1928-12-31;22.1636
1929-01-31;22.9325
1929-02-28;22.4397
1929-03-31;19.7002
1929-04-30;16.9119
1929-05-31;14.2404
1929-06-30;11.3814
1929-07-31;10.2526
1929-08-31;12.2513
1929-09-30;15.4425
1929-10-31;18.4987
1929-11-30;20.3329
1929-12-31;21.7147
1930-01-31;22.0579
1930-02-28;21.7358
1930-03-31;20.531999999999996
1930-04-30;16.9745
1930-05-31;13.953
1930-06-30;10.6341
1930-07-31;11.0543
1930-08-31;11.7786
1930-09-30;14.1121
1930-10-31;18.2637
